,DateTime,Seq,Watt
652,2013년 3월 28일 - 4시,4,251
653,2013년 3월 28일 - 5시,5,231
654,2013년 3월 28일 - 6시,6,342
655,2013년 3월 28일 - 7시,7,1736
656,2013년 3월 28일 - 8시,8,4886
657,2013년 3월 28일 - 9시,9,798
658,2013년 3월 28일 - 10시,10,532
659,2013년 3월 28일 - 11시,11,2009
660,2013년 3월 28일 - 12시,12,2848
661,2013년 3월 28일 - 13시,13,429
662,2013년 3월 28일 - 14시,14,434
663,2013년 3월 28일 - 15시,15,2383
664,2013년 3월 28일 - 16시,16,4616
665,2013년 3월 28일 - 17시,17,2865
666,2013년 3월 28일 - 18시,18,4247
667,2013년 3월 28일 - 19시,19,2905
668,2013년 3월 28일 - 20시,20,5452
669,2013년 3월 28일 - 21시,21,1917
670,2013년 3월 28일 - 22시,22,609
671,2013년 3월 28일 - 23시,23,1713
672,2013년 3월 29일 - 0시,0,354
673,2013년 3월 29일 - 1시,1,341
674,2013년 3월 29일 - 2시,2,292
675,2013년 3월 29일 - 3시,3,369
676,2013년 3월 29일 - 4시,4,288
677,2013년 3월 29일 - 5시,5,342
678,2013년 3월 29일 - 6시,6,4983
679,2013년 3월 29일 - 7시,7,3141
680,2013년 3월 29일 - 8시,8,340
681,2013년 3월 29일 - 9시,9,292
682,2013년 3월 29일 - 10시,10,277
683,2013년 3월 29일 - 11시,11,271
684,2013년 3월 29일 - 12시,12,423
685,2013년 3월 29일 - 13시,13,272
686,2013년 3월 29일 - 14시,14,266
687,2013년 3월 29일 - 15시,15,265
688,2013년 3월 29일 - 16시,16,264
689,2013년 3월 29일 - 17시,17,253
690,2013년 3월 29일 - 18시,18,260
691,2013년 3월 29일 - 19시,19,320
692,2013년 3월 29일 - 20시,20,317
693,2013년 3월 29일 - 21시,21,322
694,2013년 3월 29일 - 22시,22,256
695,2013년 3월 29일 - 23시,23,245
696,2013년 3월 30일 - 0시,0,241
697,2013년 3월 30일 - 1시,1,272
698,2013년 3월 30일 - 2시,2,382
699,2013년 3월 30일 - 3시,3,383
700,2013년 3월 30일 - 4시,4,224
701,2013년 3월 30일 - 5시,5,276
702,2013년 3월 30일 - 6시,6,331
703,2013년 3월 30일 - 7시,7,311
704,2013년 3월 30일 - 8시,8,315
705,2013년 3월 30일 - 9시,9,284
706,2013년 3월 30일 - 10시,10,273
707,2013년 3월 30일 - 11시,11,265
708,2013년 3월 30일 - 12시,12,270
709,2013년 3월 30일 - 13시,13,827
710,2013년 3월 30일 - 14시,14,261
711,2013년 3월 30일 - 15시,15,709
712,2013년 3월 30일 - 16시,16,238
713,2013년 3월 30일 - 17시,17,400
714,2013년 3월 30일 - 18시,18,292
715,2013년 3월 30일 - 19시,19,254
716,2013년 3월 30일 - 20시,20,264
717,2013년 3월 30일 - 21시,21,306
718,2013년 3월 30일 - 22시,22,247
719,2013년 3월 30일 - 23시,23,257
720,2013년 3월 31일 - 0시,0,249
721,2013년 3월 31일 - 1시,1,241
722,2013년 3월 31일 - 2시,2,242
723,2013년 3월 31일 - 3시,3,223
724,2013년 3월 31일 - 4시,4,420
725,2013년 3월 31일 - 5시,5,246
726,2013년 3월 31일 - 6시,6,258
727,2013년 3월 31일 - 7시,7,243
728,2013년 3월 31일 - 8시,8,728
729,2013년 3월 31일 - 9시,9,288
730,2013년 3월 31일 - 10시,10,259
731,2013년 3월 31일 - 11시,11,262
732,2013년 3월 31일 - 12시,12,307
733,2013년 3월 31일 - 13시,13,242
734,2013년 3월 31일 - 14시,14,225
735,2013년 3월 31일 - 15시,15,277
736,2013년 3월 31일 - 16시,16,245
737,2013년 3월 31일 - 17시,17,313
738,2013년 3월 31일 - 18시,18,258
739,2013년 3월 31일 - 19시,19,332
740,2013년 3월 31일 - 20시,20,264
741,2013년 3월 31일 - 21시,21,331
742,2013년 3월 31일 - 22시,22,243
743,2013년 3월 31일 - 23시,23,405
